Date;Time;Tempat
03/04/2022;21:00:00;Kelurahan Limo
03/04/2022;22:00:00;Kelurahan Limo
03/04/2022;23:00:00;Kelurahan Limo
04/04/2022;00:00:00;Kelurahan Limo
04/04/2022;01:00:00;Kelurahan Limo
04/04/2022;02:00:00;Kelurahan Limo
04/04/2022;03:00:00;Kelurahan Limo
04/04/2022;04:00:00;Kelurahan Limo
04/04/2022;05:00:00;Kelurahan Limo
04/04/2022;06:00:00;Kelurahan Limo
04/04/2022;07:00:00;Kelurahan Limo
04/04/2022;08:00:00;Kelurahan Limo
04/04/2022;09:00:00;Kelurahan Limo
04/04/2022;10:00:00;Kelurahan Pancoran Mas
04/04/2022;11:00:00;Kelurahan Pancoran Mas
04/04/2022;12:00:00;Kelurahan Pancoran Mas
04/04/2022;13:00:00;Kelurahan Pancoran Mas
04/04/2022;14:00:00;Kelurahan Limo
04/04/2022;15:00:00;Kelurahan Limo
04/04/2022;16:00:00;Kelurahan Limo
04/04/2022;17:00:00;Kelurahan Limo
04/04/2022;18:00:00;Kelurahan Limo
04/04/2022;19:00:00;Kelurahan Limo
04/04/2022;20:00:00;Kelurahan Limo
04/04/2022;21:00:00;Kelurahan Limo
04/04/2022;22:00:00;Kelurahan Limo
04/04/2022;23:00:00;Kelurahan Limo
05/04/2022;00:00:00;Kelurahan Limo
05/04/2022;01:00:00;Kelurahan Limo
05/04/2022;02:00:00;Kelurahan Limo
05/04/2022;03:00:00;Kelurahan Limo
05/04/2022;04:00:00;Kelurahan Limo
05/04/2022;05:00:00;Kelurahan Limo
05/04/2022;06:00:00;Kelurahan Meruyung
05/04/2022;07:00:00;Kelurahan Meruyung
05/04/2022;08:00:00;Kelurahan Meruyung
05/04/2022;09:00:00;Kelurahan Meruyung
05/04/2022;10:00:00;Kelurahan Meruyung
05/04/2022;11:00:00;Kelurahan Limo
05/04/2022;12:00:00;Kelurahan Limo
05/04/2022;13:00:00;Kelurahan Limo
05/04/2022;14:00:00;Kelurahan Limo
05/04/2022;15:00:00;Kelurahan Limo
05/04/2022;16:00:00;Kelurahan Limo
05/04/2022;17:00:00;Kelurahan Limo
05/04/2022;18:00:00;Kelurahan Limo
05/04/2022;19:00:00;Kelurahan Limo
05/04/2022;20:00:00;Kelurahan Limo
05/04/2022;21:00:00;Kelurahan Limo
05/04/2022;22:00:00;Kelurahan Limo
05/04/2022;23:00:00;Kelurahan Limo
